srcX: 310	srcY: 215	dstX: 30	dstY: 215	idx: 0.927161
srcX: 327	srcY: 216	dstX: 47	dstY: 216	idx: 0.913671
srcX: 342	srcY: 215	dstX: 63	dstY: 216	idx: 0.978073
srcX: 347	srcY: 215	dstX: 68	dstY: 216	idx: 0.984348
srcX: 382	srcY: 218	dstX: 103	dstY: 219	idx: 0.966388
srcX: 441	srcY: 217	dstX: 163	dstY: 218	idx: 0.975698
srcX: 473	srcY: 216	dstX: 195	dstY: 217	idx: 0.961236
srcX: 475	srcY: 216	dstX: 197	dstY: 217	idx: 0.954719
srcX: 532	srcY: 216	dstX: 254	dstY: 218	idx: 0.943381
srcX: 536	srcY: 218	dstX: 257	dstY: 220	idx: 0.949539
srcX: 540	srcY: 218	dstX: 261	dstY: 220	idx: 0.965734
srcX: 547	srcY: 217	dstX: 268	dstY: 219	idx: 0.973412
srcX: 556	srcY: 217	dstX: 277	dstY: 219	idx: 0.973029
srcX: 580	srcY: 216	dstX: 301	dstY: 218	idx: 0.944191
srcX: 590	srcY: 216	dstX: 310	dstY: 218	idx: 0.912013
srcX: 297	srcY: 220	dstX: 16	dstY: 220	idx: 0.937694
srcX: 301	srcY: 222	dstX: 21	dstY: 222	idx: 0.94173
srcX: 305	srcY: 222	dstX: 25	dstY: 222	idx: 0.936165
srcX: 310	srcY: 222	dstX: 30	dstY: 222	idx: 0.924901
srcX: 350	srcY: 221	dstX: 71	dstY: 222	idx: 0.986713
srcX: 428	srcY: 223	dstX: 150	dstY: 224	idx: 0.981077
srcX: 430	srcY: 223	dstX: 152	dstY: 224	idx: 0.98101
srcX: 443	srcY: 220	dstX: 165	dstY: 221	idx: 0.975328
srcX: 461	srcY: 222	dstX: 183	dstY: 223	idx: 0.965574
srcX: 468	srcY: 223	dstX: 190	dstY: 224	idx: 0.956386
srcX: 477	srcY: 223	dstX: 199	dstY: 224	idx: 0.944097
srcX: 502	srcY: 221	dstX: 224	dstY: 223	idx: 0.893813
srcX: 517	srcY: 220	dstX: 239	dstY: 222	idx: 0.901136
srcX: 546	srcY: 220	dstX: 267	dstY: 222	idx: 0.971225
srcX: 553	srcY: 220	dstX: 274	dstY: 222	idx: 0.968071
srcX: 561	srcY: 221	dstX: 282	dstY: 223	idx: 0.969516
srcX: 580	srcY: 222	dstX: 301	dstY: 224	idx: 0.929034
srcX: 308	srcY: 226	dstX: 28	dstY: 226	idx: 0.931464
srcX: 310	srcY: 227	dstX: 30	dstY: 227	idx: 0.928984
srcX: 323	srcY: 225	dstX: 44	dstY: 226	idx: 0.880023
srcX: 328	srcY: 227	dstX: 49	dstY: 228	idx: 0.901895
srcX: 343	srcY: 226	dstX: 64	dstY: 227	idx: 0.957524
srcX: 345	srcY: 228	dstX: 66	dstY: 229	idx: 0.966259
srcX: 360	srcY: 227	dstX: 81	dstY: 228	idx: 0.99301
srcX: 372	srcY: 228	dstX: 93	dstY: 229	idx: 0.988705
srcX: 428	srcY: 227	dstX: 150	dstY: 228	idx: 0.97295
srcX: 436	srcY: 227	dstX: 158	dstY: 228	idx: 0.969093
srcX: 453	srcY: 226	dstX: 175	dstY: 227	idx: 0.968959
srcX: 457	srcY: 227	dstX: 179	dstY: 228	idx: 0.965141
srcX: 473	srcY: 228	dstX: 195	dstY: 229	idx: 0.950754
srcX: 477	srcY: 225	dstX: 199	dstY: 226	idx: 0.943682
srcX: 507	srcY: 226	dstX: 229	dstY: 228	idx: 0.891134
srcX: 576	srcY: 226	dstX: 297	dstY: 228	idx: 0.915408
srcX: 315	srcY: 230	dstX: 35	dstY: 231	idx: 0.929845
srcX: 323	srcY: 230	dstX: 44	dstY: 231	idx: 0.898461
srcX: 347	srcY: 230	dstX: 68	dstY: 231	idx: 0.969837
srcX: 373	srcY: 231	dstX: 94	dstY: 232	idx: 0.98415
srcX: 378	srcY: 232	dstX: 99	dstY: 233	idx: 0.978066
srcX: 382	srcY: 233	dstX: 103	dstY: 234	idx: 0.968646
srcX: 403	srcY: 230	dstX: 125	dstY: 231	idx: 0.902627
srcX: 447	srcY: 232	dstX: 169	dstY: 233	idx: 0.962503
srcX: 571	srcY: 233	dstX: 292	dstY: 235	idx: 0.932384
srcX: 582	srcY: 230	dstX: 303	dstY: 232	idx: 0.912788
srcX: 586	srcY: 230	dstX: 306	dstY: 232	idx: 0.915046
srcX: 591	srcY: 233	dstX: 311	dstY: 235	idx: 0.940051
srcX: 625	srcY: 233	dstX: 345	dstY: 235	idx: 0.888405
srcX: 333	srcY: 236	dstX: 54	dstY: 237	idx: 0.928291
srcX: 338	srcY: 238	dstX: 59	dstY: 239	idx: 0.945939
srcX: 340	srcY: 238	dstX: 61	dstY: 239	idx: 0.950184
srcX: 346	srcY: 238	dstX: 67	dstY: 239	idx: 0.96831
srcX: 356	srcY: 238	dstX: 77	dstY: 239	idx: 0.984084
srcX: 397	srcY: 238	dstX: 118	dstY: 239	idx: 0.899761
srcX: 406	srcY: 238	dstX: 128	dstY: 239	idx: 0.913629
srcX: 413	srcY: 237	dstX: 135	dstY: 238	idx: 0.933202
srcX: 423	srcY: 236	dstX: 145	dstY: 237	idx: 0.94189
srcX: 427	srcY: 237	dstX: 149	dstY: 238	idx: 0.943989
srcX: 433	srcY: 235	dstX: 155	dstY: 236	idx: 0.952166
srcX: 436	srcY: 237	dstX: 158	dstY: 238	idx: 0.948513
srcX: 483	srcY: 238	dstX: 205	dstY: 239	idx: 0.930936
srcX: 503	srcY: 238	dstX: 225	dstY: 239	idx: 0.862238
srcX: 543	srcY: 238	dstX: 264	dstY: 240	idx: 0.956403
srcX: 580	srcY: 237	dstX: 301	dstY: 239	idx: 0.912515
srcX: 590	srcY: 235	dstX: 310	dstY: 237	idx: 0.931277
srcX: 333	srcY: 242	dstX: 54	dstY: 243	idx: 0.945347
srcX: 337	srcY: 243	dstX: 58	dstY: 244	idx: 0.951098
srcX: 340	srcY: 240	dstX: 61	dstY: 241	idx: 0.954046
srcX: 367	srcY: 242	dstX: 88	dstY: 243	idx: 0.983629
srcX: 396	srcY: 240	dstX: 117	dstY: 241	idx: 0.902638
srcX: 406	srcY: 240	dstX: 128	dstY: 241	idx: 0.914881
srcX: 417	srcY: 240	dstX: 139	dstY: 241	idx: 0.94383
srcX: 425	srcY: 241	dstX: 147	dstY: 242	idx: 0.93719
srcX: 437	srcY: 241	dstX: 159	dstY: 242	idx: 0.941691
srcX: 443	srcY: 243	dstX: 165	dstY: 244	idx: 0.940495
srcX: 445	srcY: 243	dstX: 167	dstY: 244	idx: 0.943851
srcX: 462	srcY: 240	dstX: 184	dstY: 241	idx: 0.956425
srcX: 478	srcY: 242	dstX: 200	dstY: 243	idx: 0.938227
srcX: 483	srcY: 240	dstX: 205	dstY: 241	idx: 0.931566
srcX: 488	srcY: 243	dstX: 210	dstY: 244	idx: 0.921992
srcX: 490	srcY: 240	dstX: 212	dstY: 241	idx: 0.92082
srcX: 541	srcY: 240	dstX: 262	dstY: 242	idx: 0.957449
srcX: 568	srcY: 241	dstX: 289	dstY: 243	idx: 0.94722
srcX: 598	srcY: 242	dstX: 318	dstY: 244	idx: 0.939768
srcX: 338	srcY: 245	dstX: 59	dstY: 246	idx: 0.955509
srcX: 411	srcY: 246	dstX: 133	dstY: 247	idx: 0.931217
srcX: 427	srcY: 245	dstX: 149	dstY: 246	idx: 0.93451
srcX: 435	srcY: 246	dstX: 157	dstY: 247	idx: 0.932291
srcX: 445	srcY: 245	dstX: 167	dstY: 246	idx: 0.935061
srcX: 468	srcY: 245	dstX: 190	dstY: 246	idx: 0.948225
srcX: 478	srcY: 248	dstX: 200	dstY: 249	idx: 0.929556
srcX: 490	srcY: 245	dstX: 212	dstY: 246	idx: 0.918826
srcX: 503	srcY: 246	dstX: 225	dstY: 247	idx: 0.880684
srcX: 508	srcY: 248	dstX: 230	dstY: 249	idx: 0.877831
srcX: 510	srcY: 248	dstX: 232	dstY: 249	idx: 0.875992
srcX: 521	srcY: 247	dstX: 243	dstY: 248	idx: 0.851863
srcX: 530	srcY: 245	dstX: 251	dstY: 247	idx: 0.884879
srcX: 556	srcY: 246	dstX: 277	dstY: 248	idx: 0.934284
srcX: 581	srcY: 248	dstX: 301	dstY: 250	idx: 0.922863
srcX: 586	srcY: 248	dstX: 306	dstY: 250	idx: 0.92635
srcX: 590	srcY: 247	dstX: 310	dstY: 249	idx: 0.922136
srcX: 418	srcY: 253	dstX: 140	dstY: 254	idx: 0.93989
srcX: 420	srcY: 253	dstX: 142	dstY: 254	idx: 0.938156
srcX: 468	srcY: 251	dstX: 190	dstY: 252	idx: 0.953725
srcX: 502	srcY: 250	dstX: 224	dstY: 251	idx: 0.885799
srcX: 508	srcY: 250	dstX: 230	dstY: 251	idx: 0.883509
srcX: 510	srcY: 250	dstX: 232	dstY: 251	idx: 0.882401
srcX: 530	srcY: 253	dstX: 251	dstY: 254	idx: 0.858255
srcX: 580	srcY: 250	dstX: 300	dstY: 252	idx: 0.926503
srcX: 586	srcY: 250	dstX: 306	dstY: 252	idx: 0.920905
srcX: 590	srcY: 250	dstX: 310	dstY: 252	idx: 0.914208
srcX: 435	srcY: 258	dstX: 157	dstY: 259	idx: 0.926543
srcX: 442	srcY: 255	dstX: 164	dstY: 256	idx: 0.925404
srcX: 462	srcY: 255	dstX: 184	dstY: 256	idx: 0.962603
srcX: 495	srcY: 257	dstX: 217	dstY: 258	idx: 0.909871
srcX: 547	srcY: 258	dstX: 268	dstY: 259	idx: 0.944807
srcX: 565	srcY: 257	dstX: 286	dstY: 258	idx: 0.970757
srcX: 603	srcY: 255	dstX: 323	dstY: 256	idx: 0.90134
srcX: 611	srcY: 256	dstX: 331	dstY: 257	idx: 0.88759
srcX: 362	srcY: 263	dstX: 83	dstY: 264	idx: 0.961033
srcX: 490	srcY: 260	dstX: 212	dstY: 261	idx: 0.913185
srcX: 547	srcY: 260	dstX: 268	dstY: 261	idx: 0.954351
srcX: 355	srcY: 265	dstX: 76	dstY: 266	idx: 0.949618
srcX: 382	srcY: 267	dstX: 103	dstY: 268	idx: 0.937734
srcX: 432	srcY: 268	dstX: 154	dstY: 269	idx: 0.899931
srcX: 468	srcY: 265	dstX: 190	dstY: 266	idx: 0.951727
srcX: 478	srcY: 268	dstX: 200	dstY: 269	idx: 0.941402
srcX: 488	srcY: 268	dstX: 210	dstY: 269	idx: 0.918934
srcX: 501	srcY: 268	dstX: 223	dstY: 269	idx: 0.911641
