srcX: 416	srcY: 173	dstX: 226	dstY: 172	idx: 0.880047
srcX: 395	srcY: 177	dstX: 205	dstY: 176	idx: 0.850321
srcX: 416	srcY: 178	dstX: 226	dstY: 177	idx: 0.867678
srcX: 400	srcY: 182	dstX: 210	dstY: 181	idx: 0.86427
srcX: 418	srcY: 182	dstX: 228	dstY: 181	idx: 0.892039
srcX: 422	srcY: 183	dstX: 232	dstY: 182	idx: 0.901132
srcX: 386	srcY: 188	dstX: 196	dstY: 187	idx: 0.860429
srcX: 403	srcY: 185	dstX: 213	dstY: 184	idx: 0.866462
srcX: 407	srcY: 187	dstX: 217	dstY: 186	idx: 0.874264
srcX: 421	srcY: 185	dstX: 231	dstY: 184	idx: 0.901024
srcX: 385	srcY: 190	dstX: 195	dstY: 189	idx: 0.872029
srcX: 390	srcY: 190	dstX: 200	dstY: 189	idx: 0.878006
srcX: 407	srcY: 191	dstX: 217	dstY: 190	idx: 0.876791
srcX: 431	srcY: 193	dstX: 241	dstY: 192	idx: 0.896102
srcX: 377	srcY: 197	dstX: 187	dstY: 196	idx: 0.876246
srcX: 393	srcY: 198	dstX: 203	dstY: 197	idx: 0.879969
srcX: 431	srcY: 195	dstX: 241	dstY: 194	idx: 0.89356
srcX: 228	srcY: 203	dstX: 39	dstY: 201	idx: 0.87179
srcX: 230	srcY: 203	dstX: 41	dstY: 201	idx: 0.877763
srcX: 370	srcY: 200	dstX: 180	dstY: 199	idx: 0.850196
srcX: 396	srcY: 202	dstX: 207	dstY: 201	idx: 0.906362
srcX: 403	srcY: 202	dstX: 214	dstY: 201	idx: 0.886084
srcX: 418	srcY: 203	dstX: 228	dstY: 202	idx: 0.884898
srcX: 420	srcY: 203	dstX: 230	dstY: 202	idx: 0.885491
srcX: 228	srcY: 205	dstX: 39	dstY: 203	idx: 0.887618
srcX: 230	srcY: 205	dstX: 41	dstY: 203	idx: 0.867948
srcX: 357	srcY: 208	dstX: 167	dstY: 207	idx: 0.852562
srcX: 366	srcY: 205	dstX: 176	dstY: 204	idx: 0.851126
srcX: 378	srcY: 206	dstX: 188	dstY: 205	idx: 0.875382
srcX: 380	srcY: 206	dstX: 190	dstY: 205	idx: 0.874015
srcX: 402	srcY: 208	dstX: 213	dstY: 207	idx: 0.885539
srcX: 418	srcY: 205	dstX: 228	dstY: 204	idx: 0.875916
srcX: 420	srcY: 205	dstX: 230	dstY: 204	idx: 0.877323
srcX: 233	srcY: 213	dstX: 44	dstY: 211	idx: 0.861708
srcX: 240	srcY: 213	dstX: 51	dstY: 211	idx: 0.874752
srcX: 357	srcY: 212	dstX: 167	dstY: 211	idx: 0.853055
srcX: 373	srcY: 211	dstX: 183	dstY: 210	idx: 0.866346
srcX: 375	srcY: 210	dstX: 185	dstY: 209	idx: 0.866495
srcX: 391	srcY: 213	dstX: 201	dstY: 212	idx: 0.868611
srcX: 398	srcY: 212	dstX: 208	dstY: 211	idx: 0.873734
srcX: 410	srcY: 213	dstX: 220	dstY: 212	idx: 0.871894
srcX: 416	srcY: 210	dstX: 226	dstY: 209	idx: 0.863875
srcX: 238	srcY: 215	dstX: 49	dstY: 213	idx: 0.850462
srcX: 240	srcY: 215	dstX: 51	dstY: 213	idx: 0.868353
srcX: 368	srcY: 215	dstX: 178	dstY: 214	idx: 0.850037
srcX: 387	srcY: 218	dstX: 197	dstY: 217	idx: 0.851332
srcX: 228	srcY: 223	dstX: 39	dstY: 221	idx: 0.872649
srcX: 386	srcY: 221	dstX: 196	dstY: 220	idx: 0.851354
srcX: 237	srcY: 228	dstX: 48	dstY: 226	idx: 0.852483
srcX: 253	srcY: 228	dstX: 64	dstY: 226	idx: 0.856689
srcX: 273	srcY: 228	dstX: 84	dstY: 226	idx: 0.86091
srcX: 231	srcY: 230	dstX: 42	dstY: 228	idx: 0.863726
srcX: 235	srcY: 231	dstX: 46	dstY: 229	idx: 0.873156
srcX: 243	srcY: 233	dstX: 54	dstY: 231	idx: 0.858661
srcX: 253	srcY: 230	dstX: 64	dstY: 228	idx: 0.878348
srcX: 255	srcY: 230	dstX: 66	dstY: 228	idx: 0.880486
srcX: 272	srcY: 230	dstX: 83	dstY: 228	idx: 0.872983
srcX: 221	srcY: 238	dstX: 32	dstY: 236	idx: 0.884866
srcX: 238	srcY: 236	dstX: 49	dstY: 234	idx: 0.875463
srcX: 242	srcY: 235	dstX: 53	dstY: 233	idx: 0.87053
srcX: 245	srcY: 237	dstX: 56	dstY: 235	idx: 0.868105
srcX: 263	srcY: 238	dstX: 74	dstY: 236	idx: 0.873044
srcX: 265	srcY: 238	dstX: 76	dstY: 236	idx: 0.880273
srcX: 433	srcY: 237	dstX: 244	dstY: 236	idx: 0.917399
srcX: 223	srcY: 241	dstX: 34	dstY: 239	idx: 0.882357
srcX: 225	srcY: 240	dstX: 36	dstY: 238	idx: 0.886168
srcX: 242	srcY: 240	dstX: 53	dstY: 238	idx: 0.890267
srcX: 260	srcY: 243	dstX: 71	dstY: 241	idx: 0.872203
srcX: 265	srcY: 240	dstX: 76	dstY: 238	idx: 0.870945
srcX: 431	srcY: 243	dstX: 242	dstY: 242	idx: 0.932727
srcX: 213	srcY: 247	dstX: 24	dstY: 245	idx: 0.852957
srcX: 215	srcY: 247	dstX: 26	dstY: 245	idx: 0.863733
srcX: 226	srcY: 248	dstX: 37	dstY: 246	idx: 0.889837
srcX: 230	srcY: 247	dstX: 41	dstY: 245	idx: 0.894035
srcX: 256	srcY: 247	dstX: 67	dstY: 245	idx: 0.857378
srcX: 261	srcY: 245	dstX: 72	dstY: 243	idx: 0.864848
srcX: 333	srcY: 248	dstX: 144	dstY: 246	idx: 0.860201
srcX: 421	srcY: 248	dstX: 232	dstY: 247	idx: 0.923679
srcX: 432	srcY: 248	dstX: 243	dstY: 247	idx: 0.944908
srcX: 208	srcY: 251	dstX: 19	dstY: 249	idx: 0.855326
srcX: 210	srcY: 251	dstX: 21	dstY: 249	idx: 0.857699
srcX: 228	srcY: 250	dstX: 39	dstY: 248	idx: 0.888609
srcX: 233	srcY: 250	dstX: 44	dstY: 248	idx: 0.899675
srcX: 248	srcY: 253	dstX: 59	dstY: 251	idx: 0.884239
srcX: 251	srcY: 252	dstX: 62	dstY: 250	idx: 0.877966
srcX: 257	srcY: 251	dstX: 68	dstY: 249	idx: 0.860016
srcX: 268	srcY: 252	dstX: 79	dstY: 250	idx: 0.872387
srcX: 270	srcY: 252	dstX: 81	dstY: 250	idx: 0.866871
srcX: 442	srcY: 252	dstX: 253	dstY: 251	idx: 0.866332
srcX: 223	srcY: 258	dstX: 34	dstY: 256	idx: 0.854743
srcX: 225	srcY: 257	dstX: 36	dstY: 255	idx: 0.86909
srcX: 248	srcY: 256	dstX: 59	dstY: 254	idx: 0.866284
srcX: 251	srcY: 255	dstX: 62	dstY: 253	idx: 0.879943
srcX: 321	srcY: 257	dstX: 132	dstY: 255	idx: 0.868455
srcX: 411	srcY: 257	dstX: 222	dstY: 256	idx: 0.91774
srcX: 416	srcY: 256	dstX: 227	dstY: 255	idx: 0.928484
srcX: 420	srcY: 256	dstX: 231	dstY: 255	idx: 0.942597
srcX: 425	srcY: 255	dstX: 236	dstY: 254	idx: 0.934712
srcX: 435	srcY: 258	dstX: 246	dstY: 257	idx: 0.883726
srcX: 220	srcY: 261	dstX: 31	dstY: 259	idx: 0.858172
srcX: 243	srcY: 260	dstX: 54	dstY: 258	idx: 0.876001
srcX: 253	srcY: 260	dstX: 64	dstY: 258	idx: 0.867973
srcX: 263	srcY: 261	dstX: 74	dstY: 259	idx: 0.867148
srcX: 265	srcY: 261	dstX: 76	dstY: 259	idx: 0.853977
srcX: 321	srcY: 260	dstX: 132	dstY: 258	idx: 0.85409
srcX: 408	srcY: 263	dstX: 219	dstY: 262	idx: 0.923409
srcX: 410	srcY: 263	dstX: 221	dstY: 262	idx: 0.930878
srcX: 418	srcY: 261	dstX: 229	dstY: 260	idx: 0.942769
srcX: 433	srcY: 261	dstX: 244	dstY: 260	idx: 0.899791
srcX: 436	srcY: 263	dstX: 247	dstY: 262	idx: 0.874774
srcX: 440	srcY: 263	dstX: 251	dstY: 262	idx: 0.863448
srcX: 215	srcY: 266	dstX: 26	dstY: 264	idx: 0.862662
srcX: 232	srcY: 268	dstX: 43	dstY: 266	idx: 0.871576
srcX: 236	srcY: 268	dstX: 47	dstY: 266	idx: 0.866966
srcX: 267	srcY: 266	dstX: 78	dstY: 264	idx: 0.854298
srcX: 271	srcY: 268	dstX: 82	dstY: 266	idx: 0.866616
srcX: 412	srcY: 267	dstX: 223	dstY: 266	idx: 0.935918
srcX: 425	srcY: 268	dstX: 236	dstY: 267	idx: 0.942317
srcX: 436	srcY: 266	dstX: 247	dstY: 265	idx: 0.882275
srcX: 228	srcY: 273	dstX: 39	dstY: 271	idx: 0.891949
srcX: 230	srcY: 273	dstX: 41	dstY: 271	idx: 0.892081
srcX: 253	srcY: 270	dstX: 64	dstY: 268	idx: 0.850945
srcX: 267	srcY: 270	dstX: 78	dstY: 268	idx: 0.87546
srcX: 273	srcY: 271	dstX: 84	dstY: 269	idx: 0.870169
srcX: 313	srcY: 273	dstX: 124	dstY: 271	idx: 0.851846
srcX: 398	srcY: 271	dstX: 209	dstY: 270	idx: 0.935172
srcX: 403	srcY: 272	dstX: 214	dstY: 271	idx: 0.940404
srcX: 425	srcY: 270	dstX: 236	dstY: 269	idx: 0.944039
srcX: 441	srcY: 270	dstX: 252	dstY: 269	idx: 0.873307
