srcX: 298	srcY: 218	dstX: 17.8411	dstY: 217.957	idx: 0.943483
srcX: 303	srcY: 218	dstX: 22.3334	dstY: 218.519	idx: 0.955133
srcX: 308	srcY: 218	dstX: 27.3274	dstY: 218.985	idx: 0.967911
srcX: 310	srcY: 215	dstX: 30.1704	dstY: 215.677	idx: 0.96298
srcX: 327	srcY: 216	dstX: 47.6155	dstY: 217.038	idx: 0.952041
srcX: 342	srcY: 215	dstX: 61.7871	dstY: 215.694	idx: 0.981538
srcX: 347	srcY: 215	dstX: 68.5041	dstY: 214.722	idx: 0.968532
srcX: 382	srcY: 218	dstX: 102.996	dstY: 218.293	idx: 0.967134
srcX: 441	srcY: 217	dstX: 163.118	dstY: 217.974	idx: 0.958139
srcX: 473	srcY: 216	dstX: 195.362	dstY: 218.158	idx: 0.967528
srcX: 475	srcY: 216	dstX: 196.555	dstY: 217.574	idx: 0.975336
srcX: 532	srcY: 216	dstX: 253.478	dstY: 217.085	idx: 0.950999
srcX: 536	srcY: 218	dstX: 258.812	dstY: 219.249	idx: 0.964729
srcX: 540	srcY: 218	dstX: 261.196	dstY: 219.424	idx: 0.953412
srcX: 547	srcY: 217	dstX: 268.756	dstY: 219.112	idx: 0.958203
srcX: 556	srcY: 217	dstX: 276.463	dstY: 218.171	idx: 0.990436
srcX: 580	srcY: 216	dstX: 301.861	dstY: 217.64	idx: 0.976586
srcX: 590	srcY: 216	dstX: 309.282	dstY: 217.47	idx: 0.957718
srcX: 297	srcY: 220	dstX: 16.0345	dstY: 219.946	idx: 0.970807
srcX: 301	srcY: 222	dstX: 21.4644	dstY: 222.009	idx: 0.931883
srcX: 305	srcY: 222	dstX: 24.291	dstY: 222.34	idx: 0.969351
srcX: 310	srcY: 222	dstX: 30.2302	dstY: 221.815	idx: 0.962366
srcX: 350	srcY: 221	dstX: 70.9637	dstY: 222.212	idx: 0.982474
srcX: 428	srcY: 223	dstX: 150.71	dstY: 223.205	idx: 0.981612
srcX: 430	srcY: 223	dstX: 151.418	dstY: 223.8	idx: 0.978491
srcX: 443	srcY: 220	dstX: 165.229	dstY: 220.471	idx: 0.967678
srcX: 461	srcY: 222	dstX: 183.865	dstY: 222.146	idx: 0.953836
srcX: 468	srcY: 223	dstX: 191.138	dstY: 224.672	idx: 0.958702
srcX: 477	srcY: 223	dstX: 198.969	dstY: 225.21	idx: 0.971432
srcX: 502	srcY: 221	dstX: 223.099	dstY: 223.231	idx: 0.975982
srcX: 517	srcY: 220	dstX: 238.724	dstY: 221.846	idx: 0.963086
srcX: 546	srcY: 220	dstX: 267.93	dstY: 220.796	idx: 0.982474
srcX: 553	srcY: 220	dstX: 273.824	dstY: 222.02	idx: 0.969113
srcX: 561	srcY: 221	dstX: 282.674	dstY: 223.257	idx: 0.950389
srcX: 580	srcY: 222	dstX: 301.064	dstY: 223.988	idx: 0.955721
srcX: 308	srcY: 226	dstX: 27.3699	dstY: 226.328	idx: 0.983562
srcX: 310	srcY: 227	dstX: 29.8099	dstY: 227.965	idx: 0.98767
srcX: 323	srcY: 225	dstX: 42.5959	dstY: 225.159	idx: 0.94566
srcX: 328	srcY: 227	dstX: 48.7305	dstY: 227.932	idx: 0.954992
srcX: 343	srcY: 226	dstX: 62.8538	dstY: 226.614	idx: 0.960975
srcX: 345	srcY: 228	dstX: 66.1063	dstY: 228.342	idx: 0.967589
srcX: 360	srcY: 227	dstX: 80.4927	dstY: 227.856	idx: 0.991469
srcX: 372	srcY: 228	dstX: 93.2085	dstY: 227.947	idx: 0.980633
srcX: 428	srcY: 227	dstX: 149.209	dstY: 228.269	idx: 0.984741
srcX: 436	srcY: 227	dstX: 158.296	dstY: 228.896	idx: 0.970775
srcX: 453	srcY: 226	dstX: 175.548	dstY: 226.418	idx: 0.976277
srcX: 457	srcY: 227	dstX: 177.894	dstY: 228.3	idx: 0.967519
srcX: 473	srcY: 228	dstX: 195.315	dstY: 228.955	idx: 0.957626
srcX: 477	srcY: 225	dstX: 199.115	dstY: 226.709	idx: 0.95178
srcX: 507	srcY: 226	dstX: 228.369	dstY: 227.987	idx: 0.953278
srcX: 576	srcY: 226	dstX: 296.58	dstY: 228.298	idx: 0.955259
srcX: 315	srcY: 230	dstX: 34.9592	dstY: 230.417	idx: 0.963841
srcX: 323	srcY: 230	dstX: 43.0348	dstY: 230.668	idx: 0.952608
srcX: 347	srcY: 230	dstX: 67.8437	dstY: 230.527	idx: 0.963469
srcX: 373	srcY: 231	dstX: 93.6054	dstY: 232.192	idx: 0.967496
srcX: 378	srcY: 232	dstX: 100.193	dstY: 232.679	idx: 0.958808
srcX: 382	srcY: 233	dstX: 103.094	dstY: 233.582	idx: 0.969804
srcX: 403	srcY: 230	dstX: 124.978	dstY: 232.187	idx: 0.951543
srcX: 447	srcY: 232	dstX: 169.105	dstY: 232.601	idx: 0.967981
srcX: 571	srcY: 233	dstX: 291.451	dstY: 234.433	idx: 0.97796
srcX: 582	srcY: 230	dstX: 303.608	dstY: 231.279	idx: 0.955827
srcX: 586	srcY: 230	dstX: 306.499	dstY: 231.771	idx: 0.960074
srcX: 591	srcY: 233	dstX: 311.657	dstY: 235.215	idx: 0.952146
srcX: 625	srcY: 233	dstX: 345.215	dstY: 235.032	idx: 0.971492
srcX: 333	srcY: 236	dstX: 52.7093	dstY: 237.481	idx: 0.965685
srcX: 338	srcY: 238	dstX: 58.6112	dstY: 237.89	idx: 0.974152
srcX: 340	srcY: 238	dstX: 61.8763	dstY: 238.248	idx: 0.981017
srcX: 346	srcY: 238	dstX: 66.418	dstY: 239.241	idx: 0.977666
srcX: 356	srcY: 238	dstX: 77.2069	dstY: 238.817	idx: 0.988839
srcX: 397	srcY: 238	dstX: 118.068	dstY: 239.264	idx: 0.954194
srcX: 406	srcY: 238	dstX: 128.553	dstY: 239.931	idx: 0.95703
srcX: 413	srcY: 237	dstX: 134.034	dstY: 237.666	idx: 0.951194
srcX: 423	srcY: 236	dstX: 145.149	dstY: 236.354	idx: 0.905325
srcX: 427	srcY: 237	dstX: 148.998	dstY: 238.367	idx: 0.967269
srcX: 433	srcY: 235	dstX: 154.278	dstY: 236.21	idx: 0.965997
srcX: 436	srcY: 237	dstX: 157.516	dstY: 238.841	idx: 0.940607
srcX: 483	srcY: 238	dstX: 205.373	dstY: 238.793	idx: 0.942417
srcX: 503	srcY: 238	dstX: 225.228	dstY: 240.176	idx: 0.966906
srcX: 543	srcY: 238	dstX: 264.335	dstY: 239.771	idx: 0.964848
srcX: 580	srcY: 237	dstX: 300.565	dstY: 238.338	idx: 0.932655
srcX: 590	srcY: 235	dstX: 310.139	dstY: 236.752	idx: 0.954237
srcX: 333	srcY: 242	dstX: 53.4347	dstY: 242.792	idx: 0.952483
srcX: 337	srcY: 243	dstX: 58.3692	dstY: 244.185	idx: 0.903581
srcX: 340	srcY: 240	dstX: 61.0917	dstY: 240.63	idx: 0.963981
srcX: 367	srcY: 242	dstX: 88.0301	dstY: 242.892	idx: 0.992822
srcX: 396	srcY: 240	dstX: 117.794	dstY: 241.323	idx: 0.960916
srcX: 406	srcY: 240	dstX: 128.36	dstY: 241.224	idx: 0.951438
srcX: 417	srcY: 240	dstX: 137.842	dstY: 240.461	idx: 0.947616
srcX: 425	srcY: 241	dstX: 147.581	dstY: 241.77	idx: 0.964012
srcX: 437	srcY: 241	dstX: 158.981	dstY: 242.148	idx: 0.962012
srcX: 443	srcY: 243	dstX: 165.389	dstY: 244.21	idx: 0.983769
srcX: 445	srcY: 243	dstX: 166.926	dstY: 244.352	idx: 0.973256
srcX: 462	srcY: 240	dstX: 182.951	dstY: 240.47	idx: 0.9798
srcX: 478	srcY: 242	dstX: 199.783	dstY: 243.577	idx: 0.983339
srcX: 483	srcY: 240	dstX: 205.306	dstY: 241.383	idx: 0.936611
srcX: 488	srcY: 243	dstX: 210.289	dstY: 244.609	idx: 0.977679
srcX: 490	srcY: 240	dstX: 211.667	dstY: 241.515	idx: 0.962835
srcX: 541	srcY: 240	dstX: 262.097	dstY: 241.709	idx: 0.954798
srcX: 568	srcY: 241	dstX: 289.614	dstY: 242.993	idx: 0.954716
srcX: 598	srcY: 242	dstX: 318.829	dstY: 244.785	idx: 0.951264
srcX: 338	srcY: 245	dstX: 59.6082	dstY: 245.856	idx: 0.966724
srcX: 411	srcY: 246	dstX: 132.417	dstY: 247.564	idx: 0.963998
srcX: 427	srcY: 245	dstX: 149.778	dstY: 245.938	idx: 0.959691
srcX: 435	srcY: 246	dstX: 156.328	dstY: 246.953	idx: 0.966929
srcX: 445	srcY: 245	dstX: 167.012	dstY: 246.244	idx: 0.984084
srcX: 468	srcY: 245	dstX: 190.107	dstY: 245.747	idx: 0.958515
srcX: 478	srcY: 248	dstX: 199.606	dstY: 249.588	idx: 0.953557
srcX: 490	srcY: 245	dstX: 211.194	dstY: 246.332	idx: 0.976258
srcX: 503	srcY: 246	dstX: 224.118	dstY: 247.785	idx: 0.961485
srcX: 508	srcY: 248	dstX: 230.518	dstY: 249.238	idx: 0.948585
srcX: 510	srcY: 248	dstX: 231.667	dstY: 249.204	idx: 0.959284
srcX: 521	srcY: 247	dstX: 242.251	dstY: 248.467	idx: 0.928975
srcX: 530	srcY: 245	dstX: 251.198	dstY: 246.588	idx: 0.968994
srcX: 556	srcY: 246	dstX: 270.746	dstY: 240.039	idx: 0.956871
srcX: 581	srcY: 248	dstX: 301.377	dstY: 250.862	idx: 0.871527
srcX: 586	srcY: 248	dstX: 307.791	dstY: 251.508	idx: 0.919916
srcX: 590	srcY: 247	dstX: 310.422	dstY: 249.195	idx: 0.960498
srcX: 418	srcY: 253	dstX: 140.367	dstY: 255.022	idx: 0.958895
srcX: 420	srcY: 253	dstX: 141.161	dstY: 254.815	idx: 0.929901
srcX: 468	srcY: 251	dstX: 191.316	dstY: 253.162	idx: 0.946265
srcX: 502	srcY: 250	dstX: 223.423	dstY: 251.14	idx: 0.933367
srcX: 508	srcY: 250	dstX: 231.228	dstY: 251.754	idx: 0.968234
srcX: 510	srcY: 250	dstX: 231.817	dstY: 251.439	idx: 0.971292
srcX: 530	srcY: 253	dstX: 250.795	dstY: 254.924	idx: 0.952743
srcX: 580	srcY: 250	dstX: 300.395	dstY: 251.513	idx: 0.964113
srcX: 586	srcY: 250	dstX: 307.349	dstY: 252.169	idx: 0.961418
srcX: 590	srcY: 250	dstX: 309.534	dstY: 251.076	idx: 0.944425
srcX: 435	srcY: 258	dstX: 157.245	dstY: 259.064	idx: 0.966951
srcX: 442	srcY: 255	dstX: 164.056	dstY: 256.143	idx: 0.951298
srcX: 462	srcY: 255	dstX: 183.092	dstY: 255.967	idx: 0.956886
srcX: 495	srcY: 257	dstX: 216.43	dstY: 258.753	idx: 0.956207
srcX: 547	srcY: 258	dstX: 268.942	dstY: 259.829	idx: 0.98364
srcX: 565	srcY: 257	dstX: 285.835	dstY: 258.269	idx: 0.960542
srcX: 603	srcY: 255	dstX: 322.13	dstY: 257.883	idx: 0.939295
srcX: 611	srcY: 256	dstX: 331.494	dstY: 257.737	idx: 0.975002
srcX: 362	srcY: 263	dstX: 83.2893	dstY: 264.585	idx: 0.972784
srcX: 490	srcY: 260	dstX: 211.816	dstY: 260.954	idx: 0.950948
srcX: 547	srcY: 260	dstX: 269.16	dstY: 261.281	idx: 0.973956
srcX: 355	srcY: 265	dstX: 75.8023	dstY: 265.577	idx: 0.95808
srcX: 382	srcY: 267	dstX: 103.821	dstY: 268.042	idx: 0.93782
srcX: 432	srcY: 268	dstX: 153.622	dstY: 268.563	idx: 0.97565
srcX: 468	srcY: 265	dstX: 189.641	dstY: 265.993	idx: 0.964728
srcX: 478	srcY: 268	dstX: 200.243	dstY: 269.088	idx: 0.928699
srcX: 488	srcY: 268	dstX: 210.088	dstY: 269.9	idx: 0.944507
srcX: 501	srcY: 268	dstX: 222.518	dstY: 268.963	idx: 0.964118
srcX: 510	srcY: 268	dstX: 232.547	dstY: 270.171	idx: 0.966751
srcX: 526	srcY: 268	dstX: 247.639	dstY: 269.464	idx: 0.907312
srcX: 547	srcY: 267	dstX: 269.095	dstY: 269.847	idx: 0.977041
srcX: 550	srcY: 267	dstX: 271.175	dstY: 268.266	idx: 0.959315
srcX: 621	srcY: 267	dstX: 340.488	dstY: 268.823	idx: 0.955195
srcX: 627	srcY: 265	dstX: 347.08	dstY: 266.32	idx: 0.965096
srcX: 320	srcY: 273	dstX: 39.8352	dstY: 274.498	idx: 0.957907
srcX: 353	srcY: 273	dstX: 73.9286	dstY: 274.501	idx: 0.953366
srcX: 355	srcY: 273	dstX: 75.8621	dstY: 274.57	idx: 0.950824
srcX: 432	srcY: 270	dstX: 153.442	dstY: 271.869	idx: 0.967904
srcX: 466	srcY: 270	dstX: 187.9	dstY: 271.503	idx: 0.965629
srcX: 488	srcY: 270	dstX: 210.345	dstY: 272.024	idx: 0.955101
srcX: 491	srcY: 270	dstX: 213.053	dstY: 271.121	idx: 0.925586
srcX: 495	srcY: 270	dstX: 215.205	dstY: 271.736	idx: 0.963777
srcX: 508	srcY: 271	dstX: 230.525	dstY: 273.508	idx: 0.978202
srcX: 510	srcY: 270	dstX: 231.967	dstY: 271.792	idx: 0.970067
srcX: 542	srcY: 271	dstX: 263.568	dstY: 272.115	idx: 0.961518
srcX: 360	srcY: 276	dstX: 79.9681	dstY: 276.989	idx: 0.97463
srcX: 397	srcY: 277	dstX: 118.465	dstY: 279.086	idx: 0.950314
srcX: 401	srcY: 278	dstX: 122.349	dstY: 279.441	idx: 0.974237
srcX: 435	srcY: 276	dstX: 155.03	dstY: 274.775	idx: 0.936255
srcX: 510	srcY: 275	dstX: 231.542	dstY: 275.635	idx: 0.961763
srcX: 541	srcY: 276	dstX: 263.166	dstY: 278.156	idx: 0.973939
srcX: 547	srcY: 278	dstX: 268.132	dstY: 279.579	idx: 0.966181
srcX: 607	srcY: 278	dstX: 325.797	dstY: 279.399	idx: 0.981931
srcX: 615	srcY: 277	dstX: 335.759	dstY: 278.491	idx: 0.903813
srcX: 338	srcY: 281	dstX: 59.1002	dstY: 282.313	idx: 0.942957
srcX: 395	srcY: 282	dstX: 116.691	dstY: 282.846	idx: 0.953784
srcX: 403	srcY: 280	dstX: 124.57	dstY: 280.438	idx: 0.9669
srcX: 407	srcY: 282	dstX: 128.027	dstY: 283.644	idx: 0.962751
srcX: 500	srcY: 283	dstX: 221.96	dstY: 284.492	idx: 0.963818
srcX: 506	srcY: 282	dstX: 227.45	dstY: 283.731	idx: 0.964435
srcX: 523	srcY: 282	dstX: 245.592	dstY: 283.507	idx: 0.956481
srcX: 525	srcY: 283	dstX: 246.362	dstY: 284.942	idx: 0.98093
srcX: 545	srcY: 280	dstX: 265.961	dstY: 281.208	idx: 0.97181
srcX: 611	srcY: 281	dstX: 330.75	dstY: 281.428	idx: 0.967137
srcX: 293	srcY: 288	dstX: 11.5426	dstY: 290.312	idx: 0.86591
srcX: 295	srcY: 287	dstX: 14.2881	dstY: 289.517	idx: 0.900089
srcX: 403	srcY: 285	dstX: 124.593	dstY: 285.643	idx: 0.951282
srcX: 406	srcY: 286	dstX: 127.053	dstY: 286.479	idx: 0.979636
srcX: 493	srcY: 288	dstX: 214.722	dstY: 290.056	idx: 0.966304
srcX: 495	srcY: 288	dstX: 217.055	dstY: 289.552	idx: 0.95368
srcX: 503	srcY: 285	dstX: 224.386	dstY: 286.055	idx: 0.97351
srcX: 506	srcY: 285	dstX: 227.304	dstY: 286.395	idx: 0.954081
srcX: 608	srcY: 288	dstX: 328.084	dstY: 289.811	idx: 0.97443
srcX: 610	srcY: 288	dstX: 329.392	dstY: 289.614	idx: 0.964389
srcX: 305	srcY: 290	dstX: 25.2354	dstY: 291.733	idx: 0.979832
srcX: 447	srcY: 292	dstX: 167.811	dstY: 294.366	idx: 0.916134
srcX: 485	srcY: 293	dstX: 206.108	dstY: 294.084	idx: 0.913563
srcX: 491	srcY: 290	dstX: 211.946	dstY: 291.019	idx: 0.972998
srcX: 597	srcY: 293	dstX: 316.958	dstY: 293.976	idx: 0.993064
srcX: 603	srcY: 290	dstX: 322.631	dstY: 290.953	idx: 0.985435
srcX: 348	srcY: 297	dstX: 67.9338	dstY: 299.025	idx: 0.956408
srcX: 447	srcY: 296	dstX: 168.71	dstY: 296.561	idx: 0.910739
srcX: 481	srcY: 298	dstX: 204.021	dstY: 300.161	idx: 0.94619
srcX: 605	srcY: 296	dstX: 324.868	dstY: 297.093	idx: 0.969216
srcX: 352	srcY: 300	dstX: 72.9777	dstY: 301.595	idx: 0.965768
srcX: 476	srcY: 301	dstX: 196.728	dstY: 302.934	idx: 0.950035
srcX: 483	srcY: 302	dstX: 204.761	dstY: 302.922	idx: 0.970582
srcX: 593	srcY: 302	dstX: 313.776	dstY: 302.506	idx: 0.951296
srcX: 595	srcY: 302	dstX: 315.289	dstY: 302.432	idx: 0.993173
srcX: 626	srcY: 300	dstX: 344.822	dstY: 300.04	idx: 0.962284
srcX: 427	srcY: 306	dstX: 147.746	dstY: 308.91	idx: 0.972746
srcX: 477	srcY: 305	dstX: 199.092	dstY: 304.427	idx: 0.940427
srcX: 480	srcY: 307	dstX: 201.305	dstY: 308.601	idx: 0.960771
srcX: 493	srcY: 308	dstX: 214.44	dstY: 308.638	idx: 0.959225
srcX: 495	srcY: 307	dstX: 215.602	dstY: 307.259	idx: 0.958627
srcX: 586	srcY: 306	dstX: 306.385	dstY: 307.278	idx: 0.949289
srcX: 623	srcY: 308	dstX: 341.707	dstY: 308.857	idx: 0.92096
srcX: 443	srcY: 311	dstX: 164.873	dstY: 312.426	idx: 0.94527
srcX: 476	srcY: 313	dstX: 197.134	dstY: 313.303	idx: 0.977817
srcX: 492	srcY: 310	dstX: 213.545	dstY: 310.772	idx: 0.955192
srcX: 562	srcY: 313	dstX: 281.89	dstY: 314.22	idx: 0.955458
srcX: 565	srcY: 313	dstX: 285.89	dstY: 313.901	idx: 0.969818
srcX: 587	srcY: 311	dstX: 307.501	dstY: 311.566	idx: 0.957065
srcX: 623	srcY: 310	dstX: 341.758	dstY: 310.711	idx: 0.913911
srcX: 476	srcY: 315	dstX: 196.288	dstY: 316.587	idx: 0.960598
srcX: 555	srcY: 317	dstX: 275.725	dstY: 318.719	idx: 0.949195
srcX: 562	srcY: 315	dstX: 282.347	dstY: 315.442	idx: 0.982696
srcX: 565	srcY: 317	dstX: 285.326	dstY: 317.226	idx: 0.96991
srcX: 503	srcY: 320	dstX: 225.207	dstY: 320.377	idx: 0.934439
srcX: 543	srcY: 322	dstX: 264.802	dstY: 323.148	idx: 0.934209
srcX: 553	srcY: 322	dstX: 274.477	dstY: 322.035	idx: 0.942682
srcX: 558	srcY: 320	dstX: 278.825	dstY: 321.137	idx: 0.925826
srcX: 562	srcY: 320	dstX: 282.665	dstY: 319.711	idx: 0.936427
srcX: 566	srcY: 321	dstX: 287.872	dstY: 321.877	idx: 0.84892
srcX: 493	srcY: 327	dstX: 214.212	dstY: 326.857	idx: 0.955267
srcX: 495	srcY: 327	dstX: 217.272	dstY: 327.875	idx: 0.96147
srcX: 558	srcY: 325	dstX: 278.87	dstY: 325.415	idx: 0.913628
srcX: 560	srcY: 325	dstX: 281.304	dstY: 325.947	idx: 0.945217
srcX: 115	srcY: 330	dstX: 88.6987	dstY: 130.291	idx: 0.751015
srcX: 486	srcY: 333	dstX: 207.944	dstY: 335.605	idx: 0.951547
srcX: 496	srcY: 331	dstX: 217.274	dstY: 331.378	idx: 0.963101
srcX: 548	srcY: 332	dstX: 269.565	dstY: 332.359	idx: 0.957726
srcX: 560	srcY: 333	dstX: 280.467	dstY: 333.56	idx: 0.895574
srcX: 622	srcY: 332	dstX: 342.476	dstY: 331.841	idx: 0.960878
srcX: 625	srcY: 333	dstX: 343.676	dstY: 334.283	idx: 0.956904
srcX: 55	srcY: 335	dstX: 71.8842	dstY: 150.469	idx: 0.777991
srcX: 368	srcY: 336	dstX: 88.0825	dstY: 337.477	idx: 0.957678
srcX: 483	srcY: 338	dstX: 204.21	dstY: 338.672	idx: 0.952765
srcX: 485	srcY: 335	dstX: 207.226	dstY: 336.728	idx: 0.986818
srcX: 513	srcY: 335	dstX: 234.413	dstY: 335.657	idx: 0.946017
srcX: 515	srcY: 335	dstX: 236.984	dstY: 335.72	idx: 0.946249
srcX: 542	srcY: 335	dstX: 263.538	dstY: 336.098	idx: 0.951992
srcX: 576	srcY: 335	dstX: 296.331	dstY: 335.675	idx: 0.933726
srcX: 613	srcY: 335	dstX: 332.861	dstY: 335.025	idx: 0.966421
srcX: 616	srcY: 337	dstX: 334.917	dstY: 338.071	idx: 0.971286
srcX: 621	srcY: 335	dstX: 342.485	dstY: 333.994	idx: 0.868249
srcX: 300	srcY: 342	dstX: 19.3913	dstY: 343.921	idx: 0.892542
srcX: 620	srcY: 341	dstX: 340.573	dstY: 339.756	idx: 0.968888
srcX: 608	srcY: 346	dstX: 327.68	dstY: 345.77	idx: 0.981746
srcX: 613	srcY: 345	dstX: 332.118	dstY: 345.193	idx: 0.951039
srcX: 615	srcY: 345	dstX: 334.729	dstY: 345.05	idx: 0.951399
srcX: 608	srcY: 351	dstX: 327.948	dstY: 350.897	idx: 0.97456
srcX: 610	srcY: 351	dstX: 329.467	dstY: 351.538	idx: 0.966666
srcX: 618	srcY: 353	dstX: 338.25	dstY: 352.989	idx: 0.951566
srcX: 627	srcY: 353	dstX: 345.481	dstY: 352.719	idx: 0.920263
